species.id,species.commonName,year,number,numberPerHour,numberPerHourMean,hours,reportingCounts,reportingObservers,totalCounts,totalObservers
rebnut,Red-breasted Nuthatch,5,0,0.0,0.0,0.0,0,0,1,1
rebnut,Red-breasted Nuthatch,10,0,0.0,0.0,0.0,0,0,1,1
rebnut,Red-breasted Nuthatch,11,0,0.0,0.0,0.0,0,0,4,5
rebnut,Red-breasted Nuthatch,12,0,0.0,0.0,0.0,0,0,4,4
rebnut,Red-breasted Nuthatch,13,8,0.0,0.0,0.0,2,3,3,4
rebnut,Red-breasted Nuthatch,14,2,0.0,0.0,0.0,1,1,2,2
rebnut,Red-breasted Nuthatch,15,0,0.0,0.0,0.0,0,0,1,1
rebnut,Red-breasted Nuthatch,16,0,0.0,0.0,0.0,0,0,2,4
rebnut,Red-breasted Nuthatch,17,52,0.0,0.0,0.0,2,6,3,7
rebnut,Red-breasted Nuthatch,18,0,0.0,0.0,0.0,0,0,1,2
rebnut,Red-breasted Nuthatch,19,10,0.0,0.0,0.0,1,3,1,3
rebnut,Red-breasted Nuthatch,20,0,0.0,0.0,0.0,0,0,1,1
rebnut,Red-breasted Nuthatch,21,0,0.0,0.0,0.0,0,0,2,4
rebnut,Red-breasted Nuthatch,22,0,0.0,0.0,17.2,0,0,3,4
rebnut,Red-breasted Nuthatch,23,0,0.0,0.0,0.0,0,0,5,6
rebnut,Red-breasted Nuthatch,24,1,0.0,0.0,0.0,1,3,5,9
rebnut,Red-breasted Nuthatch,25,0,0.0,0.0,0.0,0,0,3,6
rebnut,Red-breasted Nuthatch,26,0,0.0,0.0,0.0,0,0,4,8
rebnut,Red-breasted Nuthatch,27,0,0.0,0.0,0.0,0,0,4,7
rebnut,Red-breasted Nuthatch,28,0,0.0,0.0,0.0,0,0,5,8
rebnut,Red-breasted Nuthatch,29,0,0.0,0.0,0.0,0,0,4,7
rebnut,Red-breasted Nuthatch,30,6,0.0,0.0,0.0,1,3,3,6
rebnut,Red-breasted Nuthatch,31,0,0.0,0.0,0.0,0,0,2,7
rebnut,Red-breasted Nuthatch,32,8,0.0,0.0,0.0,2,2,4,4
rebnut,Red-breasted Nuthatch,33,0,0.0,0.0,0.0,0,0,5,9
rebnut,Red-breasted Nuthatch,34,14,0.0,0.0,0.0,2,7,5,15
